claim_id,policy_id,loss_date,report_date,loss_hour,paid_amount,claimant_phone,repair_shop,days_since_inception,true_label
CLM50032,POL100200,2025-03-23,2025-03-23,9,1766.48,555-9598,Bergen Collision,190,honest
CLM50033,POL100201,2025-09-04,2025-09-08,20,6822.55,555-7965,Pioneer Collision,252,honest
CLM50034,POL100203,2025-08-05,2025-08-09,14,12366.93,555-2179,Sunrise Collision,224,honest
CLM50035,POL100208,2024-08-16,2024-08-17,15,8900.62,555-8811,Bergen Collision,162,honest
CLM50036,POL100229,2025-06-05,2025-06-05,9,11770.06,555-2066,Astor Collision,454,honest
CLM50037,POL100237,2025-11-28,2025-12-02,19,3380.45,555-4269,Harbor Collision,152,honest
CLM50038,POL100245,2025-10-17,2025-10-20,18,6355.61,555-7048,Sunrise Collision,165,honest
CLM50039,POL100254,2025-06-11,2025-06-15,7,4587.76,555-6982,Bergen Collision,285,honest
CLM50040,POL100258,2024-09-15,2024-09-20,9,5303.11,555-2469,Fulton Collision,3,inflated
CLM50041,POL100262,2024-12-24,2024-12-27,14,2462.43,555-3965,Maple Collision,159,honest
CLM50042,POL100263,2024-09-22,2024-09-22,4,11047.73,555-0101,Shop B Auto Body,55,ring
CLM50043,POL100264,2025-06-22,2025-06-26,15,1117.97,555-8581,Bergen Collision,1,honest
CLM50044,POL100265,2024-05-23,2024-05-24,11,10471.5,555-6397,Sunrise Collision,64,honest
CLM50045,POL100266,2025-04-28,2025-04-28,23,14837.95,555-0101,Shop B Auto Body,23,ring
CLM50046,POL100278,2025-07-22,2025-07-23,2,7531.95,555-0105,Shop F Auto Body,25,ring
CLM50047,POL100281,2025-03-19,2025-03-23,15,6563.62,555-6761,Sunrise Collision,129,honest
CLM50048,POL100288,2025-03-07,2025-03-11,12,5512.9,555-8511,Sunrise Collision,214,honest
CLM50049,POL100313,2024-09-19,2024-09-23,21,2810.43,555-5423,Summit Collision,238,honest
CLM50050,POL100315,2025-01-06,2025-01-08,18,3158.64,555-8467,Bergen Collision,146,honest
CLM50051,POL100316,2025-12-22,2025-12-27,9,7955.06,555-2854,Astor Collision,264,honest
CLM50052,POL100324,2024-03-12,2024-03-17,9,4044.8,555-7624,Pioneer Collision,52,honest
CLM50053,POL100325,2024-07-27,2024-07-29,18,11681.69,555-2694,Summit Collision,158,honest
CLM50054,POL100327,2025-11-07,2025-11-08,6,3165.1,555-7625,Astor Collision,621,honest
CLM50055,POL100329,2025-09-30,2025-10-05,19,9736.1,555-3806,Astor Collision,277,honest
CLM50056,POL100340,2025-10-20,2025-10-23,18,902.87,555-7715,Sunrise Collision,602,honest
CLM50057,POL100341,2025-12-16,2025-12-21,16,5141.05,555-3243,Pioneer Collision,209,honest
CLM50058,POL100342,2025-07-08,2025-07-09,7,13319.15,555-8698,Grand Collision,94,inflated
CLM50059,POL100343,2024-09-29,2024-10-04,13,41155.77,555-9683,Summit Collision,239,honest
CLM50060,POL100357,2025-07-23,2025-07-28,18,5712.29,555-8154,Union Collision,116,inflated
CLM50061,POL100360,2025-07-18,2025-07-19,13,5186.27,555-8657,Sunrise Collision,173,honest
CLM50062,POL100362,2025-05-10,2025-05-12,22,9005.88,555-9922,Maple Collision,143,honest
CLM50063,POL100377,2025-12-09,2025-12-14,21,2437.24,555-6426,Union Collision,171,honest
CLM50064,POL100384,2025-03-16,2025-03-16,4,5115.03,555-0102,Shop C Auto Body,42,ring
CLM50065,POL100390,2025-02-13,2025-02-16,11,4987.84,555-3963,Sunrise Collision,44,honest
CLM50066,POL100392,2025-03-27,2025-03-27,18,3998.88,555-6565,Sunrise Collision,250,honest
CLM50067,POL100411,2025-07-14,2025-07-19,13,4728.24,555-6014,Summit Collision,421,honest
CLM50068,POL100412,2025-02-08,2025-02-11,7,6191.0,555-6889,Bergen Collision,230,honest
CLM50069,POL100413,2024-10-22,2024-10-23,8,6016.07,555-6855,Astor Collision,159,honest
CLM50070,POL100416,2025-12-05,2025-12-08,14,11982.42,555-6807,Union Collision,668,honest
CLM50071,POL100437,2024-12-01,2024-12-05,21,4985.12,555-5665,Union Collision,131,honest
CLM50072,POL100443,2025-07-11,2025-07-13,16,6838.47,555-9848,Maple Collision,211,honest
CLM50073,POL100448,2025-03-09,2025-03-10,8,19408.16,555-4958,Grand Collision,181,honest
CLM50074,POL100449,2025-07-15,2025-07-15,19,3534.59,555-6897,Bergen Collision,150,honest
CLM50075,POL100458,2025-02-07,2025-02-07,3,10651.15,555-0101,Shop B Auto Body,54,ring
CLM50076,POL100476,2025-05-09,2025-05-13,8,2819.6,555-9124,Fulton Collision,438,honest
CLM50077,POL100482,2025-05-18,2025-05-23,18,5631.38,555-3258,Pioneer Collision,61,honest
CLM50078,POL100484,2025-10-05,2025-10-08,9,3169.38,555-9614,Pioneer Collision,119,honest
CLM50079,POL100492,2025-02-04,2025-02-09,20,4344.08,555-9120,Astor Collision,211,honest
CLM50080,POL100498,2024-10-26,2024-10-29,6,4214.56,555-4496,Bergen Collision,124,honest
CLM50081,POL100505,2025-11-30,2025-12-03,7,4117.59,555-3998,Sunrise Collision,586,honest
CLM50082,POL100509,2025-04-06,2025-04-07,13,3422.08,555-4881,Harbor Collision,263,honest
CLM50083,POL100515,2025-10-24,2025-10-28,22,5209.81,555-2639,Astor Collision,523,honest
CLM50084,POL100517,2025-11-17,2025-11-19,9,3172.16,555-8157,Summit Collision,200,honest
CLM50085,POL100533,2025-04-25,2025-04-30,22,2664.73,555-7591,Grand Collision,54,honest
CLM50086,POL100538,2025-04-30,2025-05-01,10,1055.15,555-2055,Maple Collision,320,honest
CLM50087,POL100540,2025-08-24,2025-08-26,15,2929.63,555-2207,Union Collision,238,honest
CLM50088,POL100550,2025-07-08,2025-07-09,14,2120.15,555-3332,Maple Collision,110,honest
CLM50089,POL100554,2025-10-07,2025-10-12,11,4842.85,555-8066,Pioneer Collision,191,honest
CLM50090,POL100557,2025-07-13,2025-07-14,8,4220.32,555-8987,Bergen Collision,152,honest
CLM50091,POL100558,2025-11-23,2025-11-28,10,11029.84,555-7305,Bergen Collision,152,honest
CLM50092,POL100573,2025-03-23,2025-03-28,8,3564.98,555-9705,Maple Collision,309,honest
CLM50093,POL100576,2024-11-21,2024-11-24,20,2104.25,555-8913,Harbor Collision,108,honest
CLM50094,POL100603,2025-12-01,2025-12-01,15,1156.39,555-8446,Union Collision,486,honest
CLM50095,POL100604,2025-12-07,2025-12-07,7,1434.37,555-3273,Fulton Collision,417,honest
CLM50096,POL100605,2025-03-28,2025-03-31,19,2708.35,555-7476,Harbor Collision,62,honest
CLM50097,POL100624,2024-06-10,2024-06-10,1,13462.23,555-0104,Shop E Auto Body,10,ring
CLM50098,POL100625,2025-12-20,2025-12-20,18,1332.29,555-5849,Harbor Collision,203,honest
CLM50099,POL100629,2025-02-25,2025-03-02,18,7208.31,555-7572,Sunrise Collision,96,honest
CLM50100,POL100639,2025-05-27,2025-06-01,14,4134.53,555-3841,Bergen Collision,252,honest
CLM50101,POL100646,2024-04-17,2024-04-17,21,8133.15,555-9604,Bergen Collision,48,honest
CLM50102,POL100658,2025-10-02,2025-10-03,19,4992.89,555-3534,Maple Collision,408,honest
CLM50103,POL100662,2025-12-25,2025-12-25,9,3640.89,555-9288,Grand Collision,407,honest
CLM50104,POL100663,2025-01-12,2025-01-16,19,5152.77,555-9151,Astor Collision,286,inflated
CLM50105,POL100665,2025-06-17,2025-06-18,13,6036.56,555-9935,Bergen Collision,263,honest
CLM50106,POL100673,2024-12-01,2024-12-05,9,5239.86,555-3466,Maple Collision,285,honest
CLM50107,POL100681,2025-12-03,2025-12-07,18,1456.75,555-7740,Astor Collision,625,honest
CLM50108,POL100700,2025-06-28,2025-07-01,12,3442.4,555-2577,Summit Collision,499,honest
CLM50109,POL100706,2025-01-29,2025-02-01,7,2274.28,555-3073,Maple Collision,11,honest
CLM50110,POL100707,2025-08-26,2025-08-30,7,3362.05,555-9353,Pioneer Collision,241,honest
CLM50111,POL100717,2024-10-29,2024-11-03,22,881.0,555-3939,Fulton Collision,201,honest
CLM50112,POL100718,2024-12-27,2024-12-27,9,4836.24,555-4939,Bergen Collision,67,honest
CLM50113,POL100723,2025-12-14,2025-12-14,17,7938.73,555-4378,Summit Collision,549,honest
CLM50114,POL100726,2025-05-31,2025-06-01,7,23185.69,555-4573,Sunrise Collision,67,honest
CLM50115,POL100736,2025-02-22,2025-02-24,22,7607.79,555-6414,Sunrise Collision,112,honest
CLM50116,POL100745,2025-01-29,2025-02-03,12,6817.6,555-3654,Sunrise Collision,128,inflated
CLM50117,POL100749,2025-10-19,2025-10-19,18,7043.89,555-6597,Fulton Collision,222,honest
CLM50118,POL100762,2024-12-28,2025-01-02,7,5192.83,555-7025,Maple Collision,130,honest
CLM50119,POL100764,2025-07-30,2025-07-30,10,1161.76,555-5520,Summit Collision,419,honest
CLM50120,POL100767,2024-11-16,2024-11-21,19,8071.35,555-5671,Grand Collision,254,honest
CLM50121,POL100773,2025-04-17,2025-04-21,14,3112.7,555-8077,Grand Collision,53,honest
CLM50122,POL100775,2024-11-17,2024-11-20,9,3246.76,555-5225,Bergen Collision,223,honest
CLM50123,POL100792,2024-08-16,2024-08-19,14,13750.51,555-7780,Maple Collision,125,honest
CLM50124,POL100794,2025-10-11,2025-10-12,7,4510.16,555-8622,Astor Collision,505,honest
CLM50125,POL100798,2025-12-01,2025-12-01,6,10568.08,555-7123,Pioneer Collision,566,inflated
CLM50126,POL100805,2025-04-05,2025-04-05,16,8342.01,555-6619,Pioneer Collision,349,honest
CLM50127,POL100818,2025-08-30,2025-09-04,12,3486.4,555-9125,Union Collision,244,honest
CLM50128,POL100820,2025-05-27,2025-05-27,17,7943.38,555-5248,Harbor Collision,281,honest
CLM50129,POL100821,2025-04-24,2025-04-25,22,8862.46,555-6654,Summit Collision,60,honest
CLM50130,POL100842,2024-07-31,2024-07-31,18,2589.93,555-7686,Maple Collision,14,honest
CLM50131,POL100849,2024-10-20,2024-10-24,9,15047.51,555-8954,Summit Collision,233,honest
CLM50132,POL100857,2025-05-25,2025-05-28,20,7693.59,555-9553,Sunrise Collision,177,honest
CLM50133,POL100880,2025-02-26,2025-03-02,18,1755.49,555-7305,Sunrise Collision,43,honest
CLM50134,POL100881,2025-09-22,2025-09-26,10,8754.31,555-3219,Union Collision,494,honest
CLM50135,POL100884,2025-06-09,2025-06-12,12,8574.31,555-4454,Union Collision,205,honest
CLM50136,POL100893,2025-05-24,2025-05-27,9,5709.34,555-4803,Summit Collision,236,inflated
CLM50137,POL100894,2025-05-08,2025-05-08,6,2156.82,555-8812,Grand Collision,17,honest
CLM50138,POL100901,2025-11-15,2025-11-16,12,8433.0,555-2613,Fulton Collision,294,honest
CLM50139,POL100907,2024-06-26,2024-06-30,14,3148.6,555-9570,Fulton Collision,49,honest
CLM50140,POL100909,2025-10-15,2025-10-16,9,5308.93,555-3910,Pioneer Collision,459,honest
CLM50141,POL100916,2025-06-11,2025-06-15,19,11020.74,555-7649,Grand Collision,504,honest
CLM50142,POL100931,2025-02-19,2025-02-19,13,10732.19,555-4243,Grand Collision,177,honest
CLM50143,POL100936,2025-03-26,2025-03-28,15,2591.08,555-2401,Summit Collision,50,honest
CLM50144,POL100950,2024-06-25,2024-06-25,17,2109.25,555-5952,Grand Collision,69,honest
CLM50145,POL100954,2025-07-18,2025-07-22,22,5719.57,555-3771,Maple Collision,375,honest
CLM50146,POL100956,2024-05-21,2024-05-21,3,31527.43,555-0101,Shop B Auto Body,52,ring
CLM50147,POL100957,2025-05-02,2025-05-02,4,6198.94,555-0105,Shop F Auto Body,29,ring
CLM50148,POL100967,2025-04-05,2025-04-08,12,6191.98,555-3691,Summit Collision,135,honest
CLM50149,POL100969,2025-09-04,2025-09-04,17,2627.52,555-5519,Grand Collision,534,honest
CLM50150,POL100970,2025-10-03,2025-10-03,17,505.7,555-5411,Maple Collision,166,honest
CLM50151,POL100974,2025-05-18,2025-05-22,15,2135.28,555-9119,Sunrise Collision,74,honest
CLM50152,POL100976,2024-08-16,2024-08-19,12,1764.33,555-4666,Union Collision,134,honest
CLM50153,POL100979,2025-10-18,2025-10-22,6,6933.3,555-2049,Harbor Collision,176,honest
CLM50154,POL100982,2025-12-08,2025-12-13,7,2656.23,555-7339,Summit Collision,195,honest
CLM50155,POL100986,2025-11-29,2025-12-01,11,1863.34,555-3163,Summit Collision,379,honest
CLM50156,POL100992,2025-11-09,2025-11-09,6,3300.58,555-3875,Astor Collision,268,honest
CLM50157,POL101001,2025-10-18,2025-10-21,18,2296.31,555-6265,Bergen Collision,242,honest
CLM50158,POL101009,2025-08-01,2025-08-04,13,9252.01,555-2021,Harbor Collision,69,honest
CLM50159,POL101015,2025-05-10,2025-05-11,10,3890.05,555-7142,Sunrise Collision,489,honest
CLM50160,POL101016,2025-07-18,2025-07-22,20,2185.6,555-3759,Harbor Collision,33,honest
CLM50161,POL101024,2025-08-09,2025-08-12,12,3773.15,555-9617,Union Collision,192,honest
CLM50162,POL101032,2025-07-20,2025-07-21,22,5040.25,555-3127,Bergen Collision,182,honest
CLM50163,POL101053,2025-11-27,2025-11-29,17,5702.53,555-6575,Sunrise Collision,562,honest
CLM50164,POL101064,2025-06-13,2025-06-13,18,11659.63,555-9755,Fulton Collision,49,inflated
CLM50165,POL101066,2024-09-18,2024-09-20,10,2913.46,555-6168,Union Collision,179,honest
CLM50166,POL101070,2025-12-22,2025-12-22,7,12037.89,555-4317,Summit Collision,344,honest
CLM50167,POL101087,2025-05-31,2025-06-05,18,1667.9,555-6392,Maple Collision,493,honest
CLM50168,POL101092,2024-09-13,2024-09-18,13,8741.68,555-3308,Maple Collision,241,honest
CLM50169,POL101093,2025-03-08,2025-03-13,12,2536.93,555-2644,Summit Collision,381,honest
CLM50170,POL101098,2024-10-20,2024-10-20,1,10386.79,555-0104,Shop E Auto Body,16,ring
CLM50171,POL101103,2025-07-01,2025-07-04,20,2057.4,555-8689,Grand Collision,315,honest
CLM50172,POL101107,2025-05-08,2025-05-12,11,736.15,555-6104,Union Collision,25,honest
CLM50173,POL101114,2025-08-29,2025-09-03,6,4125.15,555-5351,Sunrise Collision,235,honest
CLM50174,POL101115,2025-08-15,2025-08-20,15,4850.71,555-2484,Summit Collision,209,honest
CLM50175,POL101116,2024-07-06,2024-07-10,7,1970.72,555-7958,Harbor Collision,130,honest
CLM50176,POL101122,2025-11-15,2025-11-20,21,3859.31,555-2246,Bergen Collision,413,honest
CLM50177,POL101128,2024-10-02,2024-10-07,9,6479.64,555-4161,Astor Collision,170,honest
CLM50178,POL101133,2025-05-06,2025-05-10,19,3503.55,555-7803,Grand Collision,114,honest
CLM50179,POL101135,2024-12-30,2025-01-03,13,6679.84,555-9761,Bergen Collision,263,honest
CLM50180,POL101137,2025-06-30,2025-07-01,7,9160.83,555-5350,Astor Collision,87,honest
CLM50181,POL101140,2025-06-03,2025-06-04,17,8053.47,555-5074,Grand Collision,143,honest
CLM50182,POL101141,2025-05-21,2025-05-22,10,8853.1,555-2387,Sunrise Collision,277,honest
CLM50183,POL101146,2024-10-03,2024-10-03,10,10168.85,555-8611,Bergen Collision,8,honest
CLM50184,POL101180,2025-07-25,2025-07-27,12,5292.51,555-3706,Bergen Collision,246,honest
CLM50185,POL101182,2025-06-13,2025-06-14,9,4582.63,555-7645,Sunrise Collision,285,honest
CLM50186,POL101183,2024-09-27,2024-10-01,19,13648.46,555-9055,Maple Collision,10,inflated
CLM50187,POL101188,2025-02-25,2025-02-26,9,5626.91,555-6124,Astor Collision,233,honest
CLM50188,POL101193,2025-02-12,2025-02-15,20,6172.81,555-2243,Union Collision,62,honest
CLM50189,POL101198,2024-12-17,2024-12-20,8,2177.89,555-9221,Maple Collision,90,honest
CLM50190,POL101213,2025-05-09,2025-05-12,22,6780.3,555-9064,Fulton Collision,269,honest
CLM50191,POL101222,2025-10-10,2025-10-11,7,3700.28,555-9457,Summit Collision,107,honest
CLM50192,POL101223,2025-03-31,2025-04-04,21,7757.66,555-4151,Summit Collision,134,honest
CLM50193,POL101225,2025-01-15,2025-01-17,17,3727.11,555-3092,Summit Collision,98,honest
CLM50194,POL101226,2024-08-27,2024-08-27,15,5961.23,555-8430,Harbor Collision,102,honest
CLM50195,POL101227,2025-12-22,2025-12-26,7,1614.46,555-7725,Grand Collision,417,honest
CLM50196,POL101232,2024-10-22,2024-10-22,1,6916.93,555-0100,Shop A Auto Body,25,ring
CLM50197,POL101243,2025-12-01,2025-12-05,22,4761.54,555-9118,Harbor Collision,275,honest
CLM50198,POL101244,2025-05-04,2025-05-06,10,5086.21,555-2505,Maple Collision,283,honest
CLM50199,POL101257,2025-10-31,2025-11-04,11,4308.44,555-3651,Fulton Collision,460,honest
CLM50200,POL101263,2025-03-05,2025-03-06,6,1737.07,555-3387,Union Collision,356,honest
CLM50201,POL101270,2025-09-29,2025-10-03,18,1338.34,555-9023,Bergen Collision,623,honest
CLM50202,POL101278,2025-12-31,2026-01-01,15,7684.19,555-9320,Astor Collision,190,honest
CLM50203,POL101280,2025-05-13,2025-05-16,16,4345.05,555-8655,Pioneer Collision,17,honest
CLM50204,POL101294,2025-09-13,2025-09-18,9,9385.36,555-8832,Bergen Collision,570,honest
CLM50205,POL101303,2025-06-05,2025-06-10,21,3518.99,555-3663,Bergen Collision,260,honest
CLM50206,POL101304,2025-04-09,2025-04-14,16,8342.45,555-3543,Astor Collision,140,honest
CLM50207,POL101306,2025-06-06,2025-06-06,11,4836.46,555-7485,Fulton Collision,346,honest
CLM50208,POL101307,2025-11-14,2025-11-16,12,5250.37,555-2602,Bergen Collision,143,honest
CLM50209,POL101317,2025-08-08,2025-08-08,4,10665.57,555-0101,Shop B Auto Body,42,ring
CLM50210,POL101318,2024-08-13,2024-08-18,9,3563.05,555-4132,Bergen Collision,62,honest
CLM50211,POL101336,2024-07-01,2024-07-05,18,17789.28,555-6889,Union Collision,27,honest
CLM50212,POL101339,2025-01-31,2025-02-01,13,2948.19,555-3933,Bergen Collision,358,honest
CLM50213,POL101344,2025-02-18,2025-02-18,1,6735.14,555-0102,Shop C Auto Body,54,ring
CLM50214,POL101345,2024-11-30,2024-12-02,12,4393.78,555-6646,Harbor Collision,86,honest
CLM50215,POL101347,2025-04-09,2025-04-09,16,2080.26,555-2812,Bergen Collision,206,honest
CLM50216,POL101348,2025-05-24,2025-05-25,20,4014.49,555-2213,Grand Collision,253,honest
CLM50217,POL101353,2025-03-03,2025-03-04,16,3327.52,555-3792,Pioneer Collision,61,honest
CLM50218,POL101355,2025-06-26,2025-06-30,6,2156.15,555-4636,Grand Collision,122,honest
CLM50219,POL101356,2025-10-08,2025-10-13,8,10078.1,555-4132,Astor Collision,354,honest
CLM50220,POL101360,2025-03-20,2025-03-24,18,4994.36,555-5865,Harbor Collision,238,honest
CLM50221,POL101370,2025-01-14,2025-01-17,8,7359.88,555-5395,Union Collision,26,honest
CLM50222,POL101371,2024-10-14,2024-10-17,9,2403.79,555-8560,Grand Collision,182,honest
CLM50223,POL101384,2025-04-17,2025-04-21,16,1360.53,555-5645,Maple Collision,57,honest
CLM50224,POL101389,2025-08-27,2025-08-28,11,3828.94,555-4047,Maple Collision,158,honest
CLM50225,POL101391,2025-10-06,2025-10-11,9,4944.2,555-3971,Bergen Collision,406,honest
CLM50226,POL101420,2024-09-29,2024-09-29,21,3709.12,555-2253,Grand Collision,129,honest
CLM50227,POL101421,2025-07-30,2025-07-30,7,5916.26,555-2003,Summit Collision,172,honest
CLM50228,POL101425,2025-07-11,2025-07-12,17,3054.98,555-6668,Bergen Collision,90,honest
CLM50229,POL101442,2024-04-19,2024-04-23,6,5864.4,555-5726,Bergen Collision,105,honest
CLM50230,POL101443,2025-07-22,2025-07-23,14,8373.87,555-3769,Fulton Collision,22,honest
CLM50231,POL101450,2025-08-18,2025-08-18,13,1234.49,555-2264,Summit Collision,102,honest
CLM50232,POL101454,2025-07-29,2025-08-03,19,4649.33,555-9862,Fulton Collision,336,honest
CLM50233,POL101462,2025-05-03,2025-05-07,10,7432.22,555-7486,Summit Collision,407,honest
CLM50234,POL101468,2025-10-23,2025-10-28,19,1667.11,555-6209,Astor Collision,120,honest
CLM50235,POL101475,2024-12-08,2024-12-08,17,6831.15,555-6339,Grand Collision,263,honest
CLM50236,POL101477,2025-07-05,2025-07-06,22,3135.49,555-7780,Summit Collision,231,honest
CLM50237,POL101490,2025-11-30,2025-12-04,10,3602.64,555-4985,Grand Collision,533,honest
CLM50238,POL101495,2025-05-11,2025-05-11,6,7896.69,555-9673,Bergen Collision,214,honest
CLM50239,POL101497,2025-04-05,2025-04-05,23,11544.86,555-0105,Shop F Auto Body,37,ring
CLM50240,POL101499,2025-06-22,2025-06-22,2,14343.03,555-0103,Shop D Auto Body,51,ring
CLM50241,POL101509,2025-08-10,2025-08-12,9,5899.04,555-9275,Pioneer Collision,362,inflated
CLM50242,POL101513,2025-08-18,2025-08-22,10,3663.97,555-2743,Astor Collision,195,honest
CLM50243,POL101528,2025-11-11,2025-11-12,22,2843.06,555-5825,Grand Collision,458,honest
CLM50244,POL101530,2024-08-23,2024-08-25,16,3010.53,555-3182,Grand Collision,59,honest
CLM50245,POL101532,2025-01-20,2025-01-21,9,2374.92,555-7754,Grand Collision,51,honest
CLM50246,POL101534,2024-07-29,2024-08-01,21,911.02,555-4006,Fulton Collision,167,honest
CLM50247,POL101535,2025-10-25,2025-10-30,22,5508.58,555-4325,Sunrise Collision,150,inflated
CLM50248,POL101553,2025-08-14,2025-08-15,14,2149.98,555-4922,Astor Collision,188,honest
CLM50249,POL101556,2025-12-27,2025-12-27,22,3677.18,555-4175,Astor Collision,478,honest
CLM50250,POL101568,2024-12-14,2024-12-19,10,2172.92,555-2532,Union Collision,320,honest
CLM50251,POL101570,2025-11-12,2025-11-16,13,2819.84,555-8171,Bergen Collision,275,honest
CLM50252,POL101574,2025-07-25,2025-07-30,6,4259.04,555-8183,Fulton Collision,479,honest
CLM50253,POL101580,2025-09-21,2025-09-21,18,6637.16,555-3557,Pioneer Collision,306,honest
CLM50254,POL101586,2025-12-31,2026-01-03,14,6981.55,555-7720,Astor Collision,225,honest
CLM50255,POL101593,2024-06-06,2024-06-06,19,3543.68,555-5529,Harbor Collision,25,honest
CLM50256,POL101596,2024-12-30,2025-01-03,7,9551.96,555-4834,Summit Collision,15,honest
CLM50257,POL101597,2024-08-03,2024-08-04,3,7927.14,555-0100,Shop A Auto Body,54,ring
CLM50258,POL101606,2025-09-19,2025-09-19,6,1147.53,555-2072,Sunrise Collision,123,honest
CLM50259,POL101620,2025-09-09,2025-09-10,16,3157.61,555-2311,Union Collision,230,honest
CLM50260,POL101621,2025-10-26,2025-10-29,20,2281.73,555-8543,Maple Collision,377,honest
CLM50261,POL101634,2024-10-23,2024-10-25,19,4329.67,555-6944,Bergen Collision,88,honest
CLM50262,POL101638,2025-03-22,2025-03-22,7,1807.19,555-4431,Harbor Collision,46,honest
CLM50263,POL101651,2025-06-04,2025-06-06,11,21352.56,555-2785,Union Collision,7,inflated
CLM50264,POL101653,2025-09-10,2025-09-14,19,3414.45,555-7858,Union Collision,98,honest
CLM50265,POL101660,2025-08-06,2025-08-07,13,3931.05,555-9039,Summit Collision,263,honest
CLM50266,POL101662,2025-05-27,2025-05-27,13,2226.23,555-5989,Bergen Collision,285,honest
CLM50267,POL101666,2024-06-25,2024-06-26,13,12496.51,555-9253,Maple Collision,36,honest
CLM50268,POL101669,2025-02-27,2025-02-28,19,1007.57,555-2404,Grand Collision,387,honest
CLM50269,POL101689,2025-09-24,2025-09-28,14,2388.52,555-8402,Summit Collision,593,honest
CLM50270,POL101692,2025-03-28,2025-04-01,6,2133.29,555-6628,Union Collision,50,honest
CLM50271,POL101694,2024-09-24,2024-09-27,16,4847.4,555-6678,Harbor Collision,261,honest
CLM50272,POL101695,2024-09-04,2024-09-06,12,5191.56,555-6255,Pioneer Collision,137,honest
CLM50273,POL101717,2024-05-23,2024-05-23,3,9394.14,555-0101,Shop B Auto Body,36,ring
CLM50274,POL101719,2025-07-05,2025-07-08,6,4089.28,555-6718,Maple Collision,259,honest
CLM50275,POL101724,2025-02-20,2025-02-20,12,2698.7,555-7488,Summit Collision,375,honest
CLM50276,POL101731,2025-04-28,2025-05-03,15,7759.56,555-5525,Astor Collision,6,honest
CLM50277,POL101740,2025-04-13,2025-04-15,21,5581.17,555-5724,Fulton Collision,167,honest
CLM50278,POL101746,2025-03-20,2025-03-23,9,1598.04,555-2906,Sunrise Collision,437,honest
CLM50279,POL101752,2024-04-13,2024-04-18,20,9030.58,555-2625,Bergen Collision,75,honest
